seed: in model
epoch: 0, loss_total: 2.900e-02, pde: 6.667e-03, , initial: 1.731e-05, , terminal: 6.580e-07, , data: 2.232e-02, 
epoch: 1, loss_total: 2.917e-02, pde: 6.703e-03, , initial: 6.236e-06, , terminal: 3.122e-07, , data: 2.246e-02, 
epoch: 2, loss_total: 2.936e-02, pde: 6.693e-03, , initial: 3.747e-06, , terminal: 1.340e-06, , data: 2.266e-02, 
epoch: 3, loss_total: 2.931e-02, pde: 6.655e-03, , initial: 7.062e-06, , terminal: 1.874e-06, , data: 2.264e-02, 
epoch: 4, loss_total: 2.917e-02, pde: 6.626e-03, , initial: 1.837e-05, , terminal: 1.334e-06, , data: 2.253e-02, 
epoch: 5, loss_total: 2.918e-02, pde: 6.609e-03, , initial: 3.738e-05, , terminal: 6.190e-07, , data: 2.253e-02, 
epoch: 6, loss_total: 2.923e-02, pde: 6.580e-03, , initial: 5.615e-05, , terminal: 2.941e-07, , data: 2.260e-02, 
epoch: 7, loss_total: 2.920e-02, pde: 6.556e-03, , initial: 6.610e-05, , terminal: 1.362e-07, , data: 2.258e-02, 
epoch: 8, loss_total: 2.912e-02, pde: 6.585e-03, , initial: 6.604e-05, , terminal: 2.549e-08, , data: 2.247e-02, 
epoch: 9, loss_total: 2.909e-02, pde: 6.683e-03, , initial: 5.977e-05, , terminal: 3.873e-08, , data: 2.235e-02, 
epoch: 10, loss_total: 2.910e-02, pde: 6.800e-03, , initial: 4.987e-05, , terminal: 1.199e-07, , data: 2.225e-02, 
epoch: 11, loss_total: 2.910e-02, pde: 6.876e-03, , initial: 3.772e-05, , terminal: 8.149e-07, , data: 2.218e-02, 
epoch: 12, loss_total: 2.905e-02, pde: 6.894e-03, , initial: 2.690e-05, , terminal: 3.102e-06, , data: 2.212e-02, 
epoch: 13, loss_total: 2.900e-02, pde: 6.871e-03, , initial: 2.163e-05, , terminal: 5.721e-06, , data: 2.210e-02, 
epoch: 14, loss_total: 2.898e-02, pde: 6.826e-03, , initial: 2.210e-05, , terminal: 5.057e-06, , data: 2.213e-02, 
