seed: in model
epoch: 0, loss_total: 3.851e-02, pde: 8.627e-03, , initial: 3.871e-05, , terminal: 7.129e-07, , data: 2.984e-02, 
epoch: 1, loss_total: 3.850e-02, pde: 8.605e-03, , initial: 4.284e-05, , terminal: 1.769e-07, , data: 2.985e-02, 
epoch: 2, loss_total: 3.851e-02, pde: 8.616e-03, , initial: 4.003e-05, , terminal: 8.336e-07, , data: 2.985e-02, 
epoch: 3, loss_total: 3.850e-02, pde: 8.622e-03, , initial: 3.665e-05, , terminal: 2.910e-08, , data: 2.984e-02, 
epoch: 4, loss_total: 3.850e-02, pde: 8.620e-03, , initial: 4.077e-05, , terminal: 6.518e-07, , data: 2.984e-02, 
epoch: 5, loss_total: 3.850e-02, pde: 8.601e-03, , initial: 4.172e-05, , terminal: 9.066e-08, , data: 2.986e-02, 
epoch: 6, loss_total: 3.850e-02, pde: 8.598e-03, , initial: 3.750e-05, , terminal: 2.581e-07, , data: 2.987e-02, 
epoch: 7, loss_total: 3.850e-02, pde: 8.597e-03, , initial: 3.805e-05, , terminal: 2.107e-07, , data: 2.987e-02, 
epoch: 8, loss_total: 3.850e-02, pde: 8.602e-03, , initial: 4.190e-05, , terminal: 2.540e-08, , data: 2.985e-02, 
epoch: 9, loss_total: 3.850e-02, pde: 8.615e-03, , initial: 4.145e-05, , terminal: 1.670e-07, , data: 2.985e-02, 
epoch: 10, loss_total: 3.850e-02, pde: 8.610e-03, , initial: 3.955e-05, , terminal: 3.191e-08, , data: 2.985e-02, 
epoch: 11, loss_total: 3.850e-02, pde: 8.603e-03, , initial: 3.913e-05, , terminal: 6.130e-08, , data: 2.986e-02, 
epoch: 12, loss_total: 3.850e-02, pde: 8.598e-03, , initial: 3.869e-05, , terminal: 9.682e-08, , data: 2.986e-02, 
epoch: 13, loss_total: 3.850e-02, pde: 8.605e-03, , initial: 4.014e-05, , terminal: 2.723e-08, , data: 2.985e-02, 
