seed: in model
epoch: 0, loss_total: 1.168e-01, pde: 2.543e-02, , initial: 1.643e-04, , terminal: 2.285e-05, , data: 9.119e-02, 
epoch: 1, loss_total: 1.170e-01, pde: 2.544e-02, , initial: 1.540e-04, , terminal: 7.798e-06, , data: 9.143e-02, 
epoch: 2, loss_total: 1.173e-01, pde: 2.549e-02, , initial: 1.276e-04, , terminal: 4.458e-08, , data: 9.170e-02, 
epoch: 3, loss_total: 1.174e-01, pde: 2.551e-02, , initial: 1.121e-04, , terminal: 5.431e-06, , data: 9.179e-02, 
epoch: 4, loss_total: 1.173e-01, pde: 2.553e-02, , initial: 1.277e-04, , terminal: 8.907e-06, , data: 9.166e-02, 
epoch: 5, loss_total: 1.173e-01, pde: 2.552e-02, , initial: 1.688e-04, , terminal: 4.307e-06, , data: 9.159e-02, 
epoch: 6, loss_total: 1.173e-01, pde: 2.544e-02, , initial: 2.120e-04, , terminal: 1.903e-07, , data: 9.167e-02, 
epoch: 7, loss_total: 1.173e-01, pde: 2.550e-02, , initial: 2.278e-04, , terminal: 1.846e-06, , data: 9.154e-02, 
epoch: 8, loss_total: 1.171e-01, pde: 2.566e-02, , initial: 1.997e-04, , terminal: 5.393e-06, , data: 9.123e-02, 
epoch: 9, loss_total: 1.169e-01, pde: 2.576e-02, , initial: 1.430e-04, , terminal: 6.009e-06, , data: 9.099e-02, 
epoch: 10, loss_total: 1.170e-01, pde: 2.604e-02, , initial: 9.095e-05, , terminal: 3.273e-06, , data: 9.083e-02, 
epoch: 11, loss_total: 1.171e-01, pde: 2.626e-02, , initial: 6.511e-05, , terminal: 4.990e-07, , data: 9.075e-02, 
epoch: 12, loss_total: 1.169e-01, pde: 2.613e-02, , initial: 6.761e-05, , terminal: 4.701e-07, , data: 9.071e-02, 
epoch: 13, loss_total: 1.168e-01, pde: 2.593e-02, , initial: 9.257e-05, , terminal: 1.925e-06, , data: 9.077e-02, 
epoch: 14, loss_total: 1.168e-01, pde: 2.579e-02, , initial: 1.230e-04, , terminal: 2.151e-06, , data: 9.092e-02, 
epoch: 15, loss_total: 1.168e-01, pde: 2.567e-02, , initial: 1.339e-04, , terminal: 1.268e-06, , data: 9.103e-02, 
epoch: 16, loss_total: 1.168e-01, pde: 2.559e-02, , initial: 1.211e-04, , terminal: 7.753e-07, , data: 9.106e-02, 
epoch: 17, loss_total: 1.167e-01, pde: 2.556e-02, , initial: 1.058e-04, , terminal: 7.784e-07, , data: 9.105e-02, 
epoch: 18, loss_total: 1.167e-01, pde: 2.555e-02, , initial: 1.088e-04, , terminal: 7.783e-07, , data: 9.107e-02, 
epoch: 19, loss_total: 1.167e-01, pde: 2.548e-02, , initial: 1.358e-04, , terminal: 7.397e-07, , data: 9.110e-02, 
epoch: 20, loss_total: 1.167e-01, pde: 2.541e-02, , initial: 1.755e-04, , terminal: 7.317e-07, , data: 9.111e-02, 
epoch: 21, loss_total: 1.167e-01, pde: 2.538e-02, , initial: 2.010e-04, , terminal: 7.831e-07, , data: 9.111e-02, 
epoch: 22, loss_total: 1.167e-01, pde: 2.536e-02, , initial: 1.941e-04, , terminal: 9.529e-07, , data: 9.111e-02, 
epoch: 23, loss_total: 1.166e-01, pde: 2.538e-02, , initial: 1.658e-04, , terminal: 1.093e-06, , data: 9.110e-02, 
epoch: 24, loss_total: 1.166e-01, pde: 2.542e-02, , initial: 1.398e-04, , terminal: 9.323e-07, , data: 9.108e-02, 
epoch: 25, loss_total: 1.166e-01, pde: 2.544e-02, , initial: 1.293e-04, , terminal: 5.629e-07, , data: 9.104e-02, 
epoch: 26, loss_total: 1.166e-01, pde: 2.548e-02, , initial: 1.327e-04, , terminal: 2.616e-07, , data: 9.096e-02, 
epoch: 27, loss_total: 1.166e-01, pde: 2.557e-02, , initial: 1.403e-04, , terminal: 5.921e-08, , data: 9.087e-02, 
epoch: 28, loss_total: 1.166e-01, pde: 2.568e-02, , initial: 1.419e-04, , terminal: 8.574e-09, , data: 9.074e-02, 
epoch: 29, loss_total: 1.165e-01, pde: 2.579e-02, , initial: 1.348e-04, , terminal: 1.082e-07, , data: 9.062e-02, 
epoch: 30, loss_total: 1.165e-01, pde: 2.584e-02, , initial: 1.245e-04, , terminal: 1.005e-07, , data: 9.056e-02, 
epoch: 31, loss_total: 1.165e-01, pde: 2.584e-02, , initial: 1.177e-04, , terminal: 3.446e-08, , data: 9.057e-02, 
epoch: 32, loss_total: 1.165e-01, pde: 2.579e-02, , initial: 1.176e-04, , terminal: 2.271e-07, , data: 9.060e-02, 
epoch: 33, loss_total: 1.165e-01, pde: 2.571e-02, , initial: 1.235e-04, , terminal: 5.555e-07, , data: 9.065e-02, 
epoch: 34, loss_total: 1.165e-01, pde: 2.566e-02, , initial: 1.322e-04, , terminal: 6.199e-07, , data: 9.069e-02, 
epoch: 35, loss_total: 1.165e-01, pde: 2.564e-02, , initial: 1.391e-04, , terminal: 3.618e-07, , data: 9.070e-02, 
epoch: 36, loss_total: 1.165e-01, pde: 2.565e-02, , initial: 1.414e-04, , terminal: 7.361e-08, , data: 9.067e-02, 
epoch: 37, loss_total: 1.164e-01, pde: 2.568e-02, , initial: 1.403e-04, , terminal: 7.289e-09, , data: 9.062e-02, 
epoch: 38, loss_total: 1.164e-01, pde: 2.571e-02, , initial: 1.398e-04, , terminal: 1.047e-07, , data: 9.059e-02, 
epoch: 39, loss_total: 1.164e-01, pde: 2.571e-02, , initial: 1.424e-04, , terminal: 1.314e-07, , data: 9.058e-02, 
epoch: 40, loss_total: 1.164e-01, pde: 2.568e-02, , initial: 1.464e-04, , terminal: 5.261e-08, , data: 9.059e-02, 
epoch: 41, loss_total: 1.164e-01, pde: 2.564e-02, , initial: 1.471e-04, , terminal: 1.617e-08, , data: 9.062e-02, 
epoch: 42, loss_total: 1.164e-01, pde: 2.562e-02, , initial: 1.418e-04, , terminal: 2.603e-08, , data: 9.064e-02, 
epoch: 43, loss_total: 1.164e-01, pde: 2.561e-02, , initial: 1.335e-04, , terminal: 2.194e-08, , data: 9.064e-02, 
epoch: 44, loss_total: 1.164e-01, pde: 2.562e-02, , initial: 1.286e-04, , terminal: 6.905e-08, , data: 9.063e-02, 
epoch: 45, loss_total: 1.164e-01, pde: 2.561e-02, , initial: 1.306e-04, , terminal: 2.005e-07, , data: 9.063e-02, 
epoch: 46, loss_total: 1.164e-01, pde: 2.559e-02, , initial: 1.375e-04, , terminal: 3.420e-07, , data: 9.063e-02, 
epoch: 47, loss_total: 1.164e-01, pde: 2.558e-02, , initial: 1.430e-04, , terminal: 4.147e-07, , data: 9.064e-02, 
epoch: 48, loss_total: 1.163e-01, pde: 2.557e-02, , initial: 1.425e-04, , terminal: 3.676e-07, , data: 9.064e-02, 
epoch: 49, loss_total: 1.163e-01, pde: 2.557e-02, , initial: 1.371e-04, , terminal: 2.189e-07, , data: 9.063e-02, 
epoch: 50, loss_total: 1.163e-01, pde: 2.556e-02, , initial: 1.318e-04, , terminal: 6.987e-08, , data: 9.063e-02, 
epoch: 51, loss_total: 1.163e-01, pde: 2.556e-02, , initial: 1.311e-04, , terminal: 7.226e-09, , data: 9.063e-02, 
epoch: 52, loss_total: 1.163e-01, pde: 2.556e-02, , initial: 1.356e-04, , terminal: 3.991e-08, , data: 9.062e-02, 
epoch: 53, loss_total: 1.163e-01, pde: 2.555e-02, , initial: 1.429e-04, , terminal: 1.165e-07, , data: 9.061e-02, 
epoch: 54, loss_total: 1.163e-01, pde: 2.555e-02, , initial: 1.493e-04, , terminal: 1.500e-07, , data: 9.060e-02, 
epoch: 55, loss_total: 1.163e-01, pde: 2.554e-02, , initial: 1.512e-04, , terminal: 9.747e-08, , data: 9.060e-02, 
epoch: 56, loss_total: 1.163e-01, pde: 2.554e-02, , initial: 1.476e-04, , terminal: 2.480e-08, , data: 9.060e-02, 
epoch: 57, loss_total: 1.163e-01, pde: 2.554e-02, , initial: 1.409e-04, , terminal: 1.126e-08, , data: 9.059e-02, 
epoch: 58, loss_total: 1.163e-01, pde: 2.554e-02, , initial: 1.352e-04, , terminal: 5.032e-08, , data: 9.059e-02, 
epoch: 59, loss_total: 1.163e-01, pde: 2.553e-02, , initial: 1.339e-04, , terminal: 8.597e-08, , data: 9.059e-02, 
epoch: 60, loss_total: 1.162e-01, pde: 2.552e-02, , initial: 1.368e-04, , terminal: 8.101e-08, , data: 9.059e-02, 
epoch: 61, loss_total: 1.162e-01, pde: 2.552e-02, , initial: 1.411e-04, , terminal: 4.222e-08, , data: 9.058e-02, 
epoch: 62, loss_total: 1.162e-01, pde: 2.553e-02, , initial: 1.433e-04, , terminal: 8.124e-09, , data: 9.056e-02, 
epoch: 63, loss_total: 1.162e-01, pde: 2.554e-02, , initial: 1.429e-04, , terminal: 2.623e-09, , data: 9.054e-02, 
epoch: 64, loss_total: 1.162e-01, pde: 2.555e-02, , initial: 1.415e-04, , terminal: 9.062e-09, , data: 9.053e-02, 
epoch: 65, loss_total: 1.162e-01, pde: 2.555e-02, , initial: 1.411e-04, , terminal: 1.297e-08, , data: 9.052e-02, 
epoch: 66, loss_total: 1.162e-01, pde: 2.554e-02, , initial: 1.422e-04, , terminal: 2.049e-08, , data: 9.052e-02, 
epoch: 67, loss_total: 1.162e-01, pde: 2.552e-02, , initial: 1.441e-04, , terminal: 2.742e-08, , data: 9.053e-02, 
epoch: 68, loss_total: 1.162e-01, pde: 2.550e-02, , initial: 1.460e-04, , terminal: 2.359e-08, , data: 9.054e-02, 
epoch: 69, loss_total: 1.162e-01, pde: 2.549e-02, , initial: 1.476e-04, , terminal: 1.345e-08, , data: 9.055e-02, 
epoch: 70, loss_total: 1.162e-01, pde: 2.548e-02, , initial: 1.485e-04, , terminal: 7.902e-09, , data: 9.055e-02, 
epoch: 71, loss_total: 1.162e-01, pde: 2.547e-02, , initial: 1.487e-04, , terminal: 9.053e-09, , data: 9.055e-02, 
epoch: 72, loss_total: 1.162e-01, pde: 2.547e-02, , initial: 1.484e-04, , terminal: 8.978e-09, , data: 9.054e-02, 
epoch: 73, loss_total: 1.162e-01, pde: 2.547e-02, , initial: 1.478e-04, , terminal: 3.764e-09, , data: 9.054e-02, 
