seed: in model
epoch: 0, loss_total: 4.193e-04, pde: 5.953e-05, , initial: 3.850e-07, , terminal: 9.021e-10, , data: 3.594e-04, 
epoch: 1, loss_total: 4.198e-04, pde: 5.945e-05, , initial: 4.178e-07, , terminal: 1.019e-07, , data: 3.598e-04, 
epoch: 2, loss_total: 4.195e-04, pde: 5.973e-05, , initial: 3.977e-07, , terminal: 7.528e-08, , data: 3.593e-04, 
epoch: 3, loss_total: 4.194e-04, pde: 5.956e-05, , initial: 4.042e-07, , terminal: 8.733e-09, , data: 3.594e-04, 
epoch: 4, loss_total: 4.197e-04, pde: 5.950e-05, , initial: 4.200e-07, , terminal: 9.950e-08, , data: 3.597e-04, 
epoch: 5, loss_total: 4.193e-04, pde: 5.950e-05, , initial: 4.043e-07, , terminal: 2.601e-08, , data: 3.594e-04, 
epoch: 6, loss_total: 4.196e-04, pde: 5.975e-05, , initial: 4.138e-07, , terminal: 3.671e-08, , data: 3.594e-04, 
epoch: 7, loss_total: 4.195e-04, pde: 5.955e-05, , initial: 3.927e-07, , terminal: 9.578e-08, , data: 3.595e-04, 
epoch: 8, loss_total: 4.193e-04, pde: 5.955e-05, , initial: 4.005e-07, , terminal: 7.373e-11, , data: 3.593e-04, 
epoch: 9, loss_total: 4.196e-04, pde: 5.974e-05, , initial: 4.228e-07, , terminal: 8.982e-08, , data: 3.594e-04, 
epoch: 10, loss_total: 4.193e-04, pde: 5.951e-05, , initial: 4.097e-07, , terminal: 2.946e-08, , data: 3.594e-04, 
epoch: 11, loss_total: 4.194e-04, pde: 5.947e-05, , initial: 4.273e-07, , terminal: 3.577e-08, , data: 3.594e-04, 
epoch: 12, loss_total: 4.195e-04, pde: 5.972e-05, , initial: 3.995e-07, , terminal: 6.745e-08, , data: 3.593e-04, 
epoch: 13, loss_total: 4.193e-04, pde: 5.956e-05, , initial: 3.881e-07, , terminal: 6.437e-10, , data: 3.593e-04, 
epoch: 14, loss_total: 4.195e-04, pde: 5.944e-05, , initial: 4.463e-07, , terminal: 5.850e-08, , data: 3.595e-04, 
epoch: 15, loss_total: 4.194e-04, pde: 5.968e-05, , initial: 4.133e-07, , terminal: 2.658e-08, , data: 3.592e-04, 
epoch: 16, loss_total: 4.193e-04, pde: 5.966e-05, , initial: 3.692e-07, , terminal: 1.530e-08, , data: 3.593e-04, 
epoch: 17, loss_total: 4.195e-04, pde: 5.949e-05, , initial: 3.963e-07, , terminal: 6.138e-08, , data: 3.596e-04, 
epoch: 18, loss_total: 4.193e-04, pde: 5.962e-05, , initial: 4.256e-07, , terminal: 2.355e-09, , data: 3.592e-04, 
epoch: 19, loss_total: 4.195e-04, pde: 5.978e-05, , initial: 4.369e-07, , terminal: 4.689e-08, , data: 3.592e-04, 
epoch: 20, loss_total: 4.194e-04, pde: 5.953e-05, , initial: 4.000e-07, , terminal: 4.066e-08, , data: 3.594e-04, 
epoch: 21, loss_total: 4.193e-04, pde: 5.961e-05, , initial: 3.878e-07, , terminal: 1.053e-08, , data: 3.593e-04, 
epoch: 22, loss_total: 4.195e-04, pde: 5.985e-05, , initial: 4.316e-07, , terminal: 6.995e-08, , data: 3.592e-04, 
epoch: 23, loss_total: 4.193e-04, pde: 5.964e-05, , initial: 4.252e-07, , terminal: 4.682e-09, , data: 3.592e-04, 
epoch: 24, loss_total: 4.194e-04, pde: 5.962e-05, , initial: 3.940e-07, , terminal: 5.303e-08, , data: 3.593e-04, 
epoch: 25, loss_total: 4.194e-04, pde: 5.980e-05, , initial: 3.913e-07, , terminal: 4.323e-08, , data: 3.592e-04, 
epoch: 26, loss_total: 4.192e-04, pde: 5.973e-05, , initial: 4.155e-07, , terminal: 8.272e-09, , data: 3.591e-04, 
epoch: 27, loss_total: 4.194e-04, pde: 5.961e-05, , initial: 4.358e-07, , terminal: 7.227e-08, , data: 3.593e-04, 
epoch: 28, loss_total: 4.193e-04, pde: 5.973e-05, , initial: 4.030e-07, , terminal: 8.834e-09, , data: 3.591e-04, 
epoch: 29, loss_total: 4.193e-04, pde: 5.980e-05, , initial: 3.902e-07, , terminal: 4.153e-08, , data: 3.591e-04, 
epoch: 30, loss_total: 4.194e-04, pde: 5.957e-05, , initial: 4.203e-07, , terminal: 5.932e-08, , data: 3.593e-04, 
epoch: 31, loss_total: 4.192e-04, pde: 5.964e-05, , initial: 4.245e-07, , terminal: 2.418e-09, , data: 3.591e-04, 
